average_accuracy_test,average_loss_test,needed_time,memory_used,memory_total,epochs,batch_size,loss_function,optimizer,learning_rate,momentum
57.42,1.278639287705634,230.74941992759705,0.1667156219482422,4096.0,12,64,<function nll_loss at 0x000002655F314670>,"SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    lr: 0.1
    maximize: False
    momentum: 0.5
    nesterov: False
    weight_decay: 0
)",0.1,0.5
56.74,1.290011172841309,299.00116086006165,0.1667156219482422,4096.0,10,64,<function nll_loss at 0x000002655F314670>,"SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    lr: 0.1
    maximize: False
    momentum: 0.5
    nesterov: False
    weight_decay: 0
)",0.1,0.5
62.41,1.2006757893380087,299.95741844177246,0.1715984344482422,4096.0,11,64,<function nll_loss at 0x000002655F314670>,"SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    lr: 0.1
    maximize: False
    momentum: 0.5
    nesterov: False
    weight_decay: 0
)",0.1,0.5
63.41,1.2440604180287405,353.60793471336365,0.1784343719482422,4096.0,16,64,<function nll_loss at 0x000002655F314670>,"SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    lr: 0.1
    maximize: False
    momentum: 0.5
    nesterov: False
    weight_decay: 0
)",0.1,0.5
61.78,1.186690569683245,253.5226695537567,0.1784343719482422,4096.0,12,64,<function nll_loss at 0x000002655F314670>,"SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    lr: 0.1
    maximize: False
    momentum: 0.5
    nesterov: False
    weight_decay: 0
)",0.1,0.5
62.019999999999996,1.1204676772378812,271.6720006465912,0.1784343719482422,4096.0,12,64,<function nll_loss at 0x000002655F314670>,"SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    lr: 0.1
    maximize: False
    momentum: 0.5
    nesterov: False
    weight_decay: 0
)",0.1,0.5
69.89,0.9492267503100595,286.95948123931885,0.1784343719482422,4096.0,12,64,<function nll_loss at 0x000002655F314670>,"SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    lr: 0.1
    maximize: False
    momentum: 0.5
    nesterov: False
    weight_decay: 0
)",0.1,0.5
68.89,1.0024112781901269,255.75572323799133,0.1818523406982422,4096.0,9,64,<function nll_loss at 0x000002655F314670>,"SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    lr: 0.1
    maximize: False
    momentum: 0.5
    nesterov: False
    weight_decay: 0
)",0.1,0.5
64.98,1.0628408618793366,506.9617495536804,0.1818523406982422,4096.0,20,64,<function nll_loss at 0x000002655F314670>,"SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    lr: 0.1
    maximize: False
    momentum: 0.5
    nesterov: False
    weight_decay: 0
)",0.1,0.5
63.51,1.116934558388534,386.54747319221497,0.1818523406982422,4096.0,14,64,<function nll_loss at 0x000002655F314670>,"SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    lr: 0.1
    maximize: False
    momentum: 0.5
    nesterov: False
    weight_decay: 0
)",0.1,0.5
65.86,1.0058669337801114,461.3149423599243,0.1823406219482422,4096.0,26,64,<function nll_loss at 0x000002655F314670>,"SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    lr: 0.1
    maximize: False
    momentum: 0.5
    nesterov: False
    weight_decay: 0
)",0.1,0.5
